省市,地市,区县,SITENAME,macroEnbId,站址,站型,厂家,设备类型,Lon,Lat,传输带宽,传输IP配置,Cell,ECI,PCI,TAC,EARFCN,Azimuth,ANT_BEAM_WIDTH,预制电下倾,机械下倾角,挂高,PA,PB,RsPower,合路方式,单双路,原有室分系统,CellClass,通过时间,接入网优平台信息是否准确,录入资管平台信息是否准确,MRR是否可以开启,站间距,RRU数,批次,报告顺序
北京,北京市,丰台,72168,72168,北京市,宏站,中兴,,116.364044,39.818061,,,18475020,18475020,279,4585,38400,130,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,72199,72199,北京市,宏站,中兴,,116.216871,39.924071,,,18482956,18482956,222,4314,38400,100,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,西城,72430,72430,北京市,宏站,中兴,,116.360161,39.906581,,,18542091,18542091,260,4112,38400,45,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,西城,72553,72553,北京市,宏站,中兴,,116.340262,39.905545,,,18573580,18573580,334,4141,38400,190,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,72654,72654,北京市,宏站,中兴,,116.344261,39.866031,,,18599436,18599436,49,4111,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,石景山,72794,72794,北京市,宏站,中兴,,116.182301,39.899612,,,18635272,18635272,4,4116,40936,120,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,大兴,98105,98105,北京市,宏站,华为,,116.509192,39.784857,,,25114893,25114893,272,4242,38400,340,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,通州,98444,98444,北京市,宏站,华为,,116.728161,39.934583,,,25201670,25201670,52,4265,38098,330,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,怀柔,98619,98619,北京市,宏站,华为,,116.656724,40.358018,,,25246517,25246517,13,4378,1400,240,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,朝阳,496020,496020,北京市,宏站,华为,,116.461243,39.918273,,,126981262,126981262,146,4278,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,496193,496193,北京市,宏站,华为,,116.453911,39.823352,,,127025549,127025549,74,4392,38400,20,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,西城,497279,497279,北京市,宏站,中兴,,116.373519,39.870231,,,127303565,127303565,389,4111,38400,30,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,499910,499910,北京市,室分,华为,,116.390015,39.992569,,,127977102,127977102,149,4234,39148,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,70047,70047,北京市,宏站,中兴,,116.333641,39.977301,,,17932043,17932043,207,4566,38400,55,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,海淀,70396,70396,北京市,宏站,中兴,,116.281911,39.948171,,,18021387,18021387,332,4562,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,昌平,70463,70463,北京市,宏站,中兴,,116.210881,40.229921,,,18038542,18038542,351,4144,38544,50,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,海淀,70557,70557,北京市,宏站,中兴,,116.304531,39.985871,,,18062600,18062600,391,4566,40936,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,房山,88183,88183,北京市,宏站,中兴,,116.176772,39.729503,,,22574854,22574854,145,4113,38098,270,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,海淀,88706,88706,北京市,宏站,中兴,,116.297971,39.945161,,,22708742,22708742,220,4311,38098,320,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,西城,90918,90918,北京市,宏站,中兴,,116.381824,39.880383,,,23275014,23275014,405,4111,38098,340,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,海淀,91186,91186,北京市,宏站,中兴,,116.235251,39.946421,,,23343622,23343622,437,4314,38098,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,海淀,91401,91401,北京市,宏站,中兴,,116.338521,39.953809,,,23398662,23398662,53,4140,38098,260,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
北京,北京市,石景山,91462,91462,北京市,宏站,中兴,,116.203498,39.893696,,,23414278,23414278,425,4461,38098,240,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,4
